station;realm;abundance
jetty;Duplodnaviria;1567
jetty;Monodnaviria;6
jetty;Riboviria;0
jetty;Varidnaviria;8
Spuikom;Duplodnaviria;7933
Spuikom;Monodnaviria;124
Spuikom;Riboviria;2
Spuikom;Varidnaviria;41
PE477_06;Duplodnaviria;11001
PE477_06;Monodnaviria;18
PE477_06;Riboviria;0
PE477_06;Varidnaviria;50
PE477_01;Duplodnaviria;3364
PE477_01;Monodnaviria;14
PE477_01;Riboviria;0
PE477_01;Varidnaviria;35
PE477_02;Duplodnaviria;911
PE477_02;Monodnaviria;14
PE477_02;Riboviria;0
PE477_02;Varidnaviria;1
PE477_03;Duplodnaviria;11171
PE477_03;Monodnaviria;60
PE477_03;Riboviria;0
PE477_03;Varidnaviria;99
PE477_04;Duplodnaviria;571
PE477_04;Monodnaviria;2
PE477_04;Riboviria;0
PE477_04;Varidnaviria;0
PE477_07;Duplodnaviria;6466
PE477_07;Monodnaviria;120
PE477_07;Riboviria;2
PE477_07;Varidnaviria;38
PE477_05;Duplodnaviria;7737
PE477_05;Monodnaviria;14
PE477_05;Riboviria;1
PE477_05;Varidnaviria;37
;;
;;
;;