class;phylum;PE477_01;PE477_02;PE477_03;PE477_04;PE477_05;PE477_06;PE477_07;jetty;spuikom
Actinomycetes;Actinomycetota;0;0;1;0;1;1;1;0;0
Bacilli;Bacillota;25;0;253;2;110;188;195;23;219
Clostridia;Bacillota;0;0;3;0;3;1;4;0;1
Tissierellia;Bacillota;0;0;0;0;1;0;0;0;0
Bacteroidia;Bacteroidota;0;0;0;0;1;2;0;0;0
Chitinophagia;Bacteroidota;0;0;2;0;0;0;0;0;0
Flavobacteriia;Bacteroidota;7;0;37;1;32;6;24;3;13
Chlamydiia;Chlamydiota;0;0;0;0;0;1;0;0;0
Cyanophyceae;Cyanobacteriota;4;0;11;0;13;26;6;5;7
Fusobacteriia;Fusobacteriota;0;0;1;0;1;0;0;1;0
Myxococcia;Myxococcota;0;0;1;0;0;0;1;0;0
Nitrososphaeria;Nitrososphaerota;0;0;0;0;0;0;1;0;0
Alphaproteobacteria;Pseudomonadota;55;9;571;1;60;123;151;12;274
Betaproteobacteria;Pseudomonadota;0;0;2;0;1;1;5;0;0
Gammaproteobacteria;Pseudomonadota;76;1;19;0;171;438;322;34;68
Spirochaetia;Spirochaetota;0;0;1;0;0;0;0;0;0
Thermoprotei;Thermoproteota;0;0;1;0;0;0;2;0;3